"TOA5","Sample_Site","CR1000","5038","CR1000.Std.17","CPU:madeupprog.cr1","111","Sample_data"
"Timestamp","RECORD,"Battery","WindSpeed,"WindDirection","Wind_STDDEV","Temperature"
"TS","RN","Volts","meterspersecond","degrees","degrees","kohms"
"","","Avg","WVc","WVc","WVc","Avg"
"2010-05-16 01:30:00",169,13.307,7.12,42.76,8.52,8.47
"2010-05-16 02:00:00",170,13.32,6.28,53.2,7.63,8.45
"2010-05-16 02:30:00",171,13.333,4.421,49.75,6.365,8.42
"2010-05-16 03:00:00",172,13.351,5.328,64.83,9.1,8.41
"2010-05-16 03:30:00",173,13.375,3.831,67.28,4.734,8.39
"2010-05-16 04:00:00",174,13.4,3.425,72.5,4.366,8.37
"2010-05-16 04:30:00",175,13.417,3.015,66.43,3.84,8.35
"2010-05-16 05:00:00",176,13.426,2.622,52.33,4.05,8.33
"2010-05-16 05:30:00",177,13.438,2.969,43.99,4.05,8.32
"2010-05-16 06:00:00",178,13.452,3.678,41.91,4.471,8.3
"2010-05-16 06:30:00",179,13.463,3.382,49.65,4.366,8.28
"2010-05-16 07:00:00",180,13.472,3.219,44.49,4.313,8.27
"2010-05-16 07:30:00",181,13.48,3.196,38.27,4.05,8.26
"2010-05-16 08:00:00",182,13.487,3.575,35.93,4.576,8.25
"2010-05-16 08:30:00",183,13.492,3.921,42.68,5.523,8.23
"2010-05-16 09:00:00",184,13.496,3.919,39.27,4.997,8.23
"2010-05-16 09:30:00",185,13.496,3.615,27.93,4.839,8.22
"2010-05-16 10:00:00",186,13.495,3.76,32.11,4.734,8.22
"2010-05-16 10:30:00",187,13.488,3.154,30.32,4.155,8.22
"2010-05-16 11:00:00",188,13.477,3.293,29.81,4.629,8.22
"2010-05-16 11:30:00",189,13.462,4.258,34.73,5.418,8.22
"2010-05-16 12:00:00",190,13.446,2.882,42.57,4.05,8.21
"2010-05-16 12:30:00",191,13.431,3.077,33.75,4.471,8.21
"2010-05-16 13:00:00",192,13.419,3.094,61.36,4.366,8.21
"2010-05-16 13:30:00",193,13.408,2.412,57.85,3.892,8.21
"2010-05-16 14:00:00",194,13.401,2.207,74.2,2.735,8.21
"2010-05-16 14:30:00",195,13.396,1.543,59,2.525,8.21
"2010-05-16 15:00:00",196,13.392,1.893,27.2,2.683,8.22
"2010-05-16 15:30:00",197,13.391,2.953,49.29,3.629,8.23
"2010-05-16 16:00:00",198,13.39,4.223,34.2,5.47,8.24
"2010-05-16 16:30:00",199,13.383,6.543,35.72,7.57,8.24
"2010-05-16 17:00:00",200,13.366,5.804,44.04,7.15,8.26
"2010-05-16 17:30:00",201,13.349,6.888,45.48,8.42,8.26
"2010-05-16 18:00:00",202,13.337,7.01,44.34,8.31,8.27
"2010-05-16 18:30:00",203,13.332,6.906,40.35,8.05,8.27
"2010-05-16 19:00:00",204,13.331,8.27,41.95,9.42,8.26
"2010-05-16 19:30:00",205,13.327,8.61,44.86,9.57,8.26
"2010-05-16 20:00:00",206,13.32,6.172,53.43,7.73,8.25
"2010-05-16 20:30:00",207,13.313,5.74,59.45,7.52,8.23
"2010-05-16 21:00:00",208,13.307,5.235,71.8,5.996,8.13
"2010-05-16 21:30:00",209,13.301,5.474,74.3,6.259,8.02
"2010-05-16 22:00:00",210,13.296,5.091,72.1,5.996,7.95
"2010-05-16 22:30:00",211,13.296,3.742,54.1,4.787,7.9
"2010-05-16 23:00:00",212,13.302,3.843,54.17,4.471,7.87
"2010-05-16 23:30:00",213,13.31,2.921,69.75,4.366,7.84
"2010-05-17 00:00:00",214,13.317,1.611,50.17,2.683,7.81
"2010-05-17 00:30:00",215,13.324,2.877,310.3,5.418,7.78
"2010-05-17 01:00:00",216,13.332,4.168,359,6.733,7.78
"2010-05-17 01:30:00",217,13.341,5.862,40.03,6.785,7.78
"2010-05-17 02:00:00",218,13.352,5.369,54.12,6.68,7.78
"2010-05-17 02:30:00",219,13.364,6.778,48.14,8,7.78
"2010-05-17 03:00:00",220,13.376,8.06,50.81,9.36,7.78
"2010-05-17 03:30:00",221,13.385,9.02,85.1,13.94,7.77
"2010-05-17 04:00:00",222,13.391,5.224,91.9,8.68,7.76
"2010-05-17 04:30:00",223,13.395,3.711,75.6,4.418,7.74
"2010-05-17 05:00:00",224,13.399,2.605,75.9,4.103,7.72
"2010-05-17 05:30:00",225,13.407,2.75,91.2,4.524,7.67
"2010-05-17 06:00:00",226,13.414,2.277,41.11,3.366,7.63
"2010-05-17 06:30:00",227,13.421,3.105,38.88,4.524,7.62
"2010-05-17 07:00:00",228,13.428,2.914,51.31,4.208,7.6
"2010-05-17 07:30:00",229,13.437,3.587,64.56,4.471,7.59
